platform,surface_type,desired_velocity_mps,method,recommended_cmd_mps,expected_actual_mps,status,reason
booster_k1,S3_artificial_turf,0.6208891728025406,nearest_lookup,0.5,0.6208891728025406,lookup,"nearest match at cmd=0.500 m/s, actual=0.621 m/s"
booster_k1,S3_artificial_turf,0.6208891728025406,ordinary_interpolation,0.5,0.620889,interpolated,global interpolation between cmd=0.450 and 0.500
booster_k1,S3_artificial_turf,0.6383,ours_conservative_monotonic,,,insufficient_evidence,risk policy balanced removed all candidate cells
booster_k1,S3_artificial_turf,0.6383,direct_command,0.6383,,naive,"u_cmd = v_desired, no compensation"
booster_k1,S3_artificial_turf,0.6383,scalar_gain,0.65993837,0.6383,naive,u_cmd = 1.034 * v_desired
booster_k1,S3_artificial_turf,0.6383,nearest_lookup,0.6,0.6556540245628931,lookup,"nearest match at cmd=0.600 m/s, actual=0.656 m/s"
booster_k1,S3_artificial_turf,0.6383,ordinary_interpolation,0.550082,0.6383,interpolated,global interpolation between cmd=0.500 and 0.600
booster_k1,artificial_turf,0.17412542534979217,ours_conservative_monotonic,,,insufficient_evidence,risk policy balanced removed all candidate cells
booster_k1,artificial_turf,0.17412542534979217,direct_command,0.17412542534979217,,naive,"u_cmd = v_desired, no compensation"
booster_k1,artificial_turf,0.17412542534979217,scalar_gain,0.18002827726915013,0.17412542534979217,naive,u_cmd = 1.034 * v_desired
booster_k1,artificial_turf,0.17412542534979217,nearest_lookup,0.3,0.17412542534979217,lookup,"nearest match at cmd=0.300 m/s, actual=0.174 m/s"
booster_k1,artificial_turf,0.17412542534979217,ordinary_interpolation,0.3,0.174125,interpolated,global interpolation between cmd=0.200 and 0.300
booster_k1,artificial_turf,0.2268,ours_conservative_monotonic,,,insufficient_evidence,risk policy balanced removed all candidate cells
booster_k1,artificial_turf,0.2268,direct_command,0.2268,,naive,"u_cmd = v_desired, no compensation"
booster_k1,artificial_turf,0.2268,scalar_gain,0.23448852,0.2268,naive,u_cmd = 1.034 * v_desired
booster_k1,artificial_turf,0.2268,nearest_lookup,0.35,0.27943846703968217,lookup,"nearest match at cmd=0.350 m/s, actual=0.279 m/s"
booster_k1,artificial_turf,0.2268,ordinary_interpolation,0.325009,0.2268,interpolated,global interpolation between cmd=0.300 and 0.350
booster_k1,artificial_turf,0.27943846703968217,ours_conservative_monotonic,,,insufficient_evidence,risk policy balanced removed all candidate cells
booster_k1,artificial_turf,0.27943846703968217,direct_command,0.27943846703968217,,naive,"u_cmd = v_desired, no compensation"
booster_k1,artificial_turf,0.27943846703968217,scalar_gain,0.2889114310723274,0.27943846703968217,naive,u_cmd = 1.034 * v_desired
booster_k1,artificial_turf,0.27943846703968217,nearest_lookup,0.35,0.27943846703968217,lookup,"nearest match at cmd=0.350 m/s, actual=0.279 m/s"
booster_k1,artificial_turf,0.27943846703968217,ordinary_interpolation,0.35,0.279438,interpolated,global interpolation between cmd=0.300 and 0.350
